episode,timestep,result,own_alive,enemy_alive,ep_steps,ep_reward,kills,deaths,act_hold,act_nav,act_frenzy,act_retreat,act_zone,act_split,act_merge,act_aggro,win_rate_100,avg_survivors_100,avg_ep_len_100,stage,timestamp
1,11,LOSS,0,3,11,-9.2600,47,50,3,5,3,0,0,0,0,0,0.000,0.0,11.0,1,23:30:10
2,20,LOSS,0,3,9,-9.2400,47,50,2,3,4,0,0,0,0,0,0.000,0.0,10.0,1,23:30:17
3,30,LOSS,0,2,10,-9.2000,48,50,4,3,3,0,0,0,0,0,0.000,0.0,10.0,1,23:30:24
4,39,LOSS,0,3,9,-9.2400,47,50,4,1,4,0,0,0,0,0,0.000,0.0,9.8,1,23:30:30
5,48,WIN,2,0,9,11.1700,50,48,3,1,5,0,0,0,0,0,0.200,2.0,9.6,1,23:30:36
6,59,LOSS,0,1,11,-9.1600,49,50,3,5,3,0,0,0,0,0,0.167,2.0,9.8,1,23:30:44
7,68,LOSS,0,4,9,-9.2900,46,50,4,1,4,0,0,0,0,0,0.143,2.0,9.7,1,23:30:50
8,78,WIN,1,0,10,11.0300,50,49,1,5,4,0,0,0,0,0,0.250,1.5,9.8,1,23:30:58
9,89,LOSS,0,1,11,-9.1600,49,50,4,2,5,0,0,0,0,0,0.222,1.5,9.9,1,23:31:05
10,98,LOSS,0,3,9,-9.2400,47,50,3,4,2,0,0,0,0,0,0.200,1.5,9.8,1,23:31:11
11,108,WIN,1,0,10,11.0300,50,49,5,3,2,0,0,0,0,0,0.273,1.3,9.8,1,23:31:18
12,117,WIN,4,0,9,11.4300,50,46,2,5,2,0,0,0,0,0,0.333,2.0,9.8,1,23:31:25
13,127,WIN,3,0,10,11.2900,50,47,5,2,3,0,0,0,0,0,0.385,2.2,9.8,1,23:31:32
14,139,LOSS,0,1,12,-9.1700,49,50,5,3,4,0,0,0,0,0,0.357,2.2,9.9,1,23:31:40
15,149,LOSS,0,2,10,-9.2000,48,50,1,4,5,0,0,0,0,0,0.333,2.2,9.9,1,23:31:47
16,160,LOSS,0,1,11,-9.1600,49,50,3,3,5,0,0,0,0,0,0.312,2.2,10.0,1,23:31:54
17,170,WIN,1,0,10,11.0300,50,49,5,0,5,0,0,0,0,0,0.353,2.0,10.0,1,23:32:01
18,179,WIN,3,0,9,11.3000,50,47,3,3,3,0,0,0,0,0,0.389,2.1,9.9,1,23:32:08
19,189,WIN,2,0,10,11.1600,50,48,3,3,4,0,0,0,0,0,0.421,2.1,9.9,1,23:32:15
20,199,WIN,2,0,10,11.1600,50,48,2,3,5,0,0,0,0,0,0.450,2.1,9.9,1,23:32:22
21,208,WIN,3,0,9,11.3000,50,47,3,3,3,0,0,0,0,0,0.476,2.2,9.9,1,23:32:28
22,218,WIN,3,0,10,11.2900,50,47,2,4,4,0,0,0,0,0,0.500,2.3,9.9,1,23:32:35
23,228,WIN,1,0,10,11.0300,50,49,6,2,2,0,0,0,0,0,0.522,2.2,9.9,1,23:32:42
24,238,WIN,3,0,10,11.2900,50,47,4,2,4,0,0,0,0,0,0.542,2.2,9.9,1,23:32:49
25,248,LOSS,0,1,10,-9.1500,49,50,3,1,6,0,0,0,0,0,0.520,2.2,9.9,1,23:32:56
26,257,LOSS,0,3,9,-9.2400,47,50,3,5,1,0,0,0,0,0,0.500,2.2,9.9,1,23:33:02
27,266,LOSS,0,2,9,-9.1900,48,50,2,4,3,0,0,0,0,0,0.481,2.2,9.9,1,23:33:09
28,277,WIN,1,0,11,11.0200,50,49,7,1,3,0,0,0,0,0,0.500,2.1,9.9,1,23:33:16
29,286,LOSS,0,1,9,-9.1400,49,50,3,4,2,0,0,0,0,0,0.483,2.1,9.9,1,23:33:23
30,296,LOSS,0,1,10,-9.1500,49,50,2,3,5,0,0,0,0,0,0.467,2.1,9.9,1,23:33:30
31,305,LOSS,0,5,9,-9.3400,45,50,4,2,3,0,0,0,0,0,0.452,2.1,9.8,1,23:33:36
32,315,LOSS,0,1,10,-9.1500,49,50,1,5,4,0,0,0,0,0,0.438,2.1,9.8,1,23:33:43
33,327,WIN,1,0,12,11.0100,50,49,5,5,2,0,0,0,0,0,0.455,2.1,9.9,1,23:33:51
34,337,WIN,1,0,10,11.0300,50,49,1,5,4,0,0,0,0,0,0.471,2.0,9.9,1,23:33:59
35,347,WIN,2,0,10,11.1600,50,48,6,4,0,0,0,0,0,0,0.486,2.0,9.9,1,23:34:06
36,356,WIN,3,0,9,11.3000,50,47,2,3,4,0,0,0,0,0,0.500,2.1,9.9,1,23:34:12
37,365,WIN,4,0,9,11.4300,50,46,3,4,2,0,0,0,0,0,0.514,2.2,9.9,1,23:34:18
38,374,WIN,3,0,9,11.3000,50,47,2,3,4,0,0,0,0,0,0.526,2.2,9.8,1,23:34:25
39,385,WIN,1,0,11,11.0200,50,49,3,7,1,0,0,0,0,0,0.538,2.1,9.9,1,23:34:32
40,395,WIN,2,0,10,11.1600,50,48,2,4,4,0,0,0,0,0,0.550,2.1,9.9,1,23:34:39
41,404,WIN,4,0,9,11.4300,50,46,3,1,5,0,0,0,0,0,0.561,2.2,9.9,1,23:34:46
42,413,WIN,3,0,9,11.3000,50,47,2,3,4,0,0,0,0,0,0.571,2.2,9.8,1,23:34:52
43,422,WIN,3,0,9,11.3000,50,47,2,6,1,0,0,0,0,0,0.581,2.3,9.8,1,23:34:59
44,432,WIN,2,0,10,11.1600,50,48,3,3,4,0,0,0,0,0,0.591,2.3,9.8,1,23:35:06
